Recipe ID,Products,Energy (kcal),Carbs (g),Protein (g),Fat (g),Preparation Time (min),Type of Preparation,Taste Rating,Shelf Time (days)
R-034!,"Pesto Sauce(132 ml),Pickled Ginger(93 ml),Pepper Jack Cheese(192 gr),Pineapple Chunks(133 ml),Plantains(61 pieces)",376.66,41.42,15.43,9.51,59,Frying,1,5
R-035,"Lime Leaves(186 ml),Red Bell Pepper(69 pieces),Thyme(181 ml),Apple Cider Vinegar(78 ml)",342.93,42.67,34.85,25.8,51,Frying,10,4
R-036!,"Pickled Beets(105 ml),Pepitas(151 gr),Pecans(136 gr)",422.11,37.52,19.31,25.86,41,Frying,5,1
R-037!,"Pine Nuts(95 gr),Pineapple Chunks(184 ml),Pecans(166 gr),Pepper Jack Cheese(75 gr),Pink Peppercorns(137 gr),Pickled Ginger(139 ml)",241.71,52.55,35.3,27.85,10,Grilling,7,5
R-038,"Fontina Cheese(58 gr),Oat Bran(107 gr),Chorizo(171 gr)",301.08,56.78,14.83,23.7,55,Grilling,9,4
R-039!,"Pistachios(67 gr),Pine Nuts(121 gr),Pepper Jack Cheese(164 gr),Pink Peppercorns(136 gr),Plantains(175 pieces),Pecans(163 gr)",317.86,55.48,23.08,6.85,30,Cooking,8,2
R-040!,"Pesto Sauce(153 ml),Pineapple Chunks(135 ml),Pepitas(200 gr),Plantains(116 pieces),Pepper Jack Cheese(68 gr)",345.06,28.17,18.8,11.14,54,Grilling,6,2
R-041,"Instant Coffee(77 gr),Stilton Cheese(143 gr),Falafel Mix(183 gr),Pecans(100 gr),Quiche(160 ml),Gherkins(137 ml),Halva(156 gr)",404.3,41.71,22.35,27.68,14,Frying,5,2
R-042!,"Pine Nuts(124 gr),Pickled Ginger(128 ml),Pistachios(127 gr),Pink Peppercorns(54 gr),Pickled Beets(177 ml)",378.17,46.91,39.24,21.93,52,Baking,8,1
R-043,"Butter Beans(154 ml),Lychee(137 pieces),Dried Onion(127 gr),Shea Butter(74 ml),Soy Milk(200 ml),Blue Curacao(81 ml)",253.87,56.75,13.87,7.21,11,Grilling,8,1
R-044!,"Pine Nuts(57 gr),Pistachios(165 gr),Pecans(138 gr),Plantains(187 pieces)",400.25,35.09,14.85,6.83,38,Baking,3,5
R-045,"Flageolet Beans(71 ml),Mushroom Soy Sauce(172 ml),Blanched Almonds(137 gr),Endive(164 ml),Galangal(147 gr),Croissants(170 pieces)",125.77,31.84,28.34,15.43,34,Frying,6,3
R-046!,"Pesto Sauce(176 ml),Pecans(164 gr),Pink Peppercorns(170 gr),Plantains(179 pieces),Pepper Jack Cheese(83 gr),Pickled Ginger(80 ml)",463.08,35.32,28.31,7.99,20,Baking,5,4
R-047,"Caraway Powder(50 gr),Wholegrain Mustard(154 ml),Allspice Berries(72 gr),Coconut Water(95 ml),Collard Greens(139 ml),Balsamic Glaze(107 ml),Red Potatoes(119 pieces)",379.37,32.57,33.87,19.85,47,Frying,9,1
R-048,"Goat Cheese(121 gr),Toasted Sesame Oil(165 ml),Pine Nuts(80 gr),Apple Butter(110 ml),Caraway Seeds(149 gr)",265.34,20.11,30.86,29.9,54,Baking,7,2
R-049,"Nut Butter(64 ml),Vegetable Broth(135 ml),Ground White Pepper(170 gr)",422.45,42.75,33.49,22.28,56,Baking,8,3
R-050!,"Pecans(184 gr),Pine Nuts(145 gr),Pineapple Chunks(119 ml),Plum Sauce(147 ml),Pink Peppercorns(148 gr)",116.97,37.34,16.03,7.82,13,Baking,6,2
R-051,"Dried Papaya(120 gr),Black Lentils(199 ml),Hawaiian Sea Salt(153 gr)",297.34,21.83,25.23,14.61,10,Cooking,9,1
R-052,"Safflower Oil(155 ml),Limoncello(158 ml),Lemongrass Stalks(66 pieces),Peanut Oil(153 ml),Navy Bean Soup(68 ml),Mustard Seeds(65 gr),Mustard Greens(71 ml)",223.77,54.68,17.88,10.9,60,Baking,8,4
R-053!,"Pink Peppercorns(104 gr),Plum Sauce(73 ml),Pecans(92 gr),Pineapple Chunks(101 ml),Pickled Ginger(82 ml),Pistachios(140 gr),Pesto Sauce(89 ml)",235.68,43.81,14.86,6.83,35,Grilling,8,3
R-054,"Tobiko(104 gr),Ground Beef(173 gr),Whole Milk(131 ml),Apple Juice(156 ml),Guava(56 pieces),Blackberry(144 ml)",100.66,32.17,38.47,21.69,59,Grilling,4,3
R-055!,"Pepitas(87 gr),Pepper Jack Cheese(195 gr),Pink Peppercorns(148 gr),Plantains(80 pieces),Plum Sauce(119 ml),Pesto Sauce(178 ml),Pineapple Chunks(151 ml)",488.24,49.47,21.38,28.56,25,Baking,3,2
R-056!,"Pistachios(167 gr),Pickled Beets(75 ml),Pineapple Chunks(54 ml),Plum Sauce(186 ml),Pine Nuts(186 gr),Pepitas(189 gr),Pecans(175 gr)",298.07,22.85,25.06,18.56,53,Baking,2,1
R-057,"Ricotta Cheese(192 ml),Marjoram(131 gr),Rainbow Chard(68 ml),Celery Stalks(149 pieces),Red Cabbage(107 ml),Vegetable Broth(77 ml)",407.23,51.34,17.32,7.17,52,Baking,8,4
R-058!,"Plum Sauce(186 ml),Pine Nuts(106 gr),Pickled Beets(106 ml),Plantains(99 pieces),Pickled Ginger(129 ml)",484.41,34.81,23.99,16.97,42,Frying,10,4
R-059,"Ancho Chili Powder(129 gr),Egg Noodles(168 ml),Capicola(190 gr)",434.75,27.77,39.5,15.36,43,Frying,3,4
R-060!,"Pickled Ginger(76 ml),Pecans(130 gr),Pickled Beets(90 ml)",141.15,29.7,35.99,17.15,29,Baking,7,4
R-061,"Almond Butter(137 ml),Almond Extract(114 ml),Tortilla Chips(57 gr),Rainbow Chard(136 ml),Breadcrumbs(125 gr),Za’atar(83 gr),Red Quinoa(85 ml)",159.31,24.62,12.75,26.71,55,Frying,4,2
R-062,"Broccoli Rabe(93 ml),Cantaloupe(167 pieces),Sesame Seeds(77 gr),Fruit Pectin(89 gr),Sweetened Condensed Milk(143 ml)",212.46,42.51,36.75,17.96,25,Grilling,3,5
R-063,"Rye Flour(107 gr),Bread Cubes(90 ml),Dried Turmeric(60 gr)",442.14,52.84,39.34,5.3,16,Cooking,7,5
R-064,"Crabmeat(172 gr),Asafoetida(138 gr),Orange Zest(140 gr),Almond Extract(75 ml)",397.65,26.45,26.93,23.92,19,Cooking,9,2
R-065!,"Pistachios(62 gr),Pine Nuts(78 gr),Pink Peppercorns(180 gr),Pineapple Chunks(168 ml),Pepper Jack Cheese(132 gr),Pickled Ginger(166 ml),Pesto Sauce(196 ml)",336.79,56.43,31.36,9.12,25,Baking,1,3
R-066,"Ground Turkey(182 gr),Cassava Flour(53 gr),Red Wine(76 ml)",311.76,22.01,39.59,13.58,17,Baking,2,5
R-067!,"Plantains(111 pieces),Pickled Beets(97 ml),Pepper Jack Cheese(134 gr),Pink Peppercorns(78 gr)",181.69,40.2,29.84,7.71,20,Cooking,8,3
R-068,"Almond Butter(154 ml),Balsamic Vinegar(123 ml),Coriander Seeds(143 gr)",330.44,44.54,19.61,11.01,32,Grilling,3,1
R-069!,"Pepper Jack Cheese(189 gr),Pickled Beets(150 ml),Pecans(142 gr),Pesto Sauce(142 ml),Pickled Ginger(71 ml),Plantains(153 pieces),Plum Sauce(100 ml)",259.11,65.14,25.32,22.02,39,Baking,4,1
R-070,"Grated Parmesan(190 gr),Edamame(91 ml),Sardines(104 gr),Spinach Leaves(104 ml)",367.99,23.59,18.34,29.17,38,Baking,9,1
R-071!,"Pepitas(148 gr),Pepper Jack Cheese(101 gr),Pecans(134 gr),Pickled Ginger(152 ml)",135.23,20.6,16.05,21.48,25,Cooking,6,3
R-072!,"Plum Sauce(172 ml),Pickled Ginger(133 ml),Pesto Sauce(170 ml),Pecans(139 gr)",473.31,55.3,23.77,14.89,27,Cooking,10,3
R-073,"Fennel(80 ml),Papaya(86 pieces),Durum Wheat(156 gr),Yogurt(99 ml),Black Beans(103 ml),Blackberry(192 ml)",254.73,60.95,28.11,14.94,45,Cooking,7,1
R-074!,"Pink Peppercorns(130 gr),Pesto Sauce(153 ml),Pineapple Chunks(164 ml),Plantains(99 pieces),Plum Sauce(179 ml),Pickled Ginger(153 ml),Pistachios(54 gr)",486.43,65.79,35.61,17.23,43,Frying,4,1
R-075!,"Plum Sauce(190 ml),Pickled Ginger(197 ml),Plantains(196 pieces),Pecans(74 gr),Pepitas(178 gr),Pesto Sauce(180 ml)",491.19,62.38,38.85,15.91,44,Cooking,1,2
R-076,"Kale(100 ml),Sea Salt(118 gr),Potatoes(130 pieces),Lima Beans(73 ml)",418.45,30.08,12.5,6.8,44,Cooking,9,4
R-077!,"Pickled Beets(60 ml),Pink Peppercorns(144 gr),Pistachios(54 gr)",149.81,57.03,13.28,14.36,27,Grilling,8,5
R-078!,"Plantains(189 pieces),Pine Nuts(188 gr),Pepitas(94 gr),Pickled Beets(102 ml),Pickled Ginger(180 ml),Pecans(163 gr)",339.63,46.13,26.45,27.36,30,Frying,3,3
R-079,"Lemon Juice(126 ml),Epazote(87 gr),Tomato Sauce(176 ml)",292.42,56.48,23.47,11.45,40,Grilling,10,3
R-080!,"Pistachios(119 gr),Pepitas(116 gr),Pesto Sauce(158 ml),Pink Peppercorns(170 gr)",112.02,32.21,25.95,8.28,17,Baking,5,2
R-081,"Goat Cheese(153 gr),Pistachios(128 gr),Coconut Aminos(90 ml),Pineapple Chunks(99 pieces),Fiddlehead Ferns(194 ml)",227.61,59.58,38.04,7.14,14,Frying,6,4
R-082,"Melon Balls(182 pieces),Dijon Mustard(93 ml),Country Ham(110 gr)",417.59,29.65,29.19,23.94,31,Frying,8,5
R-083,"Olive Tapenade(190 ml),Palm Sugar(85 gr),Ground Turkey(117 gr)",409.46,43.83,12.76,16.49,30,Cooking,7,1
R-084,"Red Quinoa(91 ml),Chive(137 ml),Lemon Peel(82 gr)",185.82,25.87,29.97,27.8,30,Frying,2,4
R-085!,"Pineapple Chunks(136 ml),Pesto Sauce(51 ml),Plantains(79 pieces),Pepitas(64 gr),Pickled Beets(159 ml),Pepper Jack Cheese(190 gr)",333.57,48.47,20.85,19.56,51,Grilling,8,4
R-086!,"Pineapple Chunks(132 ml),Pickled Ginger(163 ml),Pecans(93 gr)",493.77,47.54,39.41,5.44,52,Cooking,4,4
R-087,"Rye Flour(58 gr),Fenugreek Seeds(104 gr),Adzuki Beans(105 ml),Hoisin Sauce(113 ml),French Green Lentils(72 ml),Banana(96 pieces)",256.58,69.59,29.47,29.54,29,Baking,10,2
R-088,"Red Wine(102 ml),Achiote Paste(138 gr),Pomegranate Seeds(155 ml)",187.66,57.37,19.51,28.3,30,Grilling,4,5
R-089!,"Pepper Jack Cheese(51 gr),Pecans(88 gr),Pickled Beets(198 ml),Pesto Sauce(120 ml),Plum Sauce(126 ml),Pine Nuts(128 gr)",203.56,61.0,19.21,24.18,42,Frying,1,5
R-090!,"Pine Nuts(135 gr),Plantains(156 pieces),Pepitas(185 gr),Plum Sauce(98 ml),Pistachios(194 gr),Pesto Sauce(91 ml),Pineapple Chunks(94 ml)",271.09,20.69,33.63,6.19,57,Baking,9,1
R-091!,"Pickled Ginger(143 ml),Pistachios(176 gr),Pineapple Chunks(175 ml),Pickled Beets(155 ml),Pesto Sauce(61 ml),Pepitas(92 gr)",318.98,34.75,29.89,21.81,51,Grilling,4,3
R-092,"Cornbread Mix(157 gr),Poppy Seeds(125 gr),Mushroom Powder(164 gr),Ajwain Seeds(76 gr),Tobiko(85 gr)",302.57,53.65,10.61,7.79,39,Frying,8,3
R-093!,"Pepper Jack Cheese(97 gr),Pesto Sauce(118 ml),Pickled Ginger(123 ml),Plum Sauce(131 ml),Pickled Beets(67 ml)",471.34,36.09,35.71,14.87,16,Frying,6,2
R-094!,"Pepper Jack Cheese(100 gr),Pineapple Chunks(81 ml),Pistachios(50 gr),Pecans(169 gr),Pepitas(69 gr),Pickled Ginger(111 ml),Plum Sauce(139 ml)",131.01,59.59,22.38,10.89,12,Cooking,9,1
R-095!,"Pineapple Chunks(178 ml),Pesto Sauce(170 ml),Pink Peppercorns(163 gr)",414.2,53.36,37.22,19.42,44,Baking,2,4
R-096!,"Pine Nuts(88 gr),Pineapple Chunks(167 ml),Pepitas(156 gr),Pink Peppercorns(89 gr),Pepper Jack Cheese(161 gr),Plum Sauce(119 ml)",228.39,39.51,26.73,5.54,32,Baking,1,3
R-097,"Shea Butter(120 ml),Banana(162 pieces),Chow Mein Noodles(192 ml),Dried Sage(123 gr),Cremini Mushrooms(198 gr),Red Grapes(75 pieces)",303.36,51.49,26.53,21.82,46,Frying,9,1
R-098,"Diced Tomatoes(147 ml),Raisins(152 ml),Sage Leaves(173 ml),Balsamic Glaze(76 ml)",468.83,20.68,28.73,28.69,44,Cooking,3,1
R-099!,"Pistachios(151 gr),Pickled Ginger(130 ml),Plantains(100 pieces),Pineapple Chunks(148 ml),Pepitas(106 gr),Pecans(61 gr),Pesto Sauce(187 ml)",460.45,21.43,30.21,23.97,17,Cooking,5,1
R-100,"Eucalyptus Honey(115 ml),Soy Milk(93 ml),Goji Berries(94 gr),Coconut Oil(190 ml),Hummus(90 ml)",238.48,53.67,24.61,10.91,54,Cooking,8,1
R-101,"Heavy Whipping Cream(138 ml),Taleggio Cheese(91 gr),Pecan Nuts(100 gr),Mayonnaise(84 ml),Candy Canes(92 pieces),Pasta Sauce(125 ml)",193.47,53.77,26.27,23.29,42,Grilling,10,1
R-102,"Black Salt(163 gr),Tomato Puree(81 ml),Shiitake Mushrooms(179 gr)",453.27,68.11,30.64,19.53,45,Grilling,7,3
R-103!,"Pine Nuts(80 gr),Pistachios(97 gr),Pickled Ginger(98 ml),Pink Peppercorns(139 gr),Plum Sauce(151 ml)",474.61,53.53,19.58,7.75,56,Grilling,4,2
R-104!,"Pineapple Chunks(185 ml),Pickled Ginger(50 ml),Pecans(188 gr),Pink Peppercorns(136 gr),Plantains(156 pieces),Plum Sauce(52 ml)",142.53,41.95,29.4,15.22,33,Frying,4,1
R-105!,"Pesto Sauce(172 ml),Pineapple Chunks(67 ml),Plantains(186 pieces),Pickled Beets(180 ml),Plum Sauce(136 ml),Pink Peppercorns(51 gr)",313.69,58.02,34.34,11.3,37,Grilling,3,4
R-106!,"Pickled Beets(60 ml),Plum Sauce(161 ml),Pineapple Chunks(72 ml),Pink Peppercorns(70 gr),Pesto Sauce(104 ml),Pepitas(169 gr)",296.99,27.97,22.42,11.72,44,Cooking,4,1
R-107,"Fish Stock(61 ml),Coconut Water(68 ml),Nectarines(67 pieces)",235.57,34.22,38.21,10.09,15,Baking,5,2
R-108!,"Pineapple Chunks(147 ml),Pickled Ginger(113 ml),Pickled Beets(98 ml)",283.5,54.24,35.81,24.31,60,Grilling,4,3
R-109,"Rye Bread(173 pieces),Kiwifruit(152 pieces),Paprika(86 gr),Yeast(119 gr)",387.63,33.11,26.31,19.66,46,Frying,5,3
R-110,"Kale(131 ml),Poblano Peppers(156 pieces),Lingonberry(198 gr),Lotus Root(184 ml),Palm Sugar(121 gr),Jackfruit(190 pieces),White Beans(199 ml)",120.76,64.24,22.36,6.81,51,Cooking,7,4
R-111,"Corn Syrup(164 ml),Meyer Lemon(123 pieces),Broccoli Florets(148 ml),Bacon(86 gr),Amaretto(83 ml),Cottage Cheese(197 ml)",214.45,36.6,39.7,22.29,52,Cooking,5,5
R-112,"Cashew Milk(90 ml),Kale(90 ml),Garlic Powder(73 gr),Asafoetida(126 gr),Tapioca Flour(57 gr)",288.01,65.88,38.76,28.43,11,Cooking,7,2
R-113!,"Pistachios(76 gr),Pesto Sauce(145 ml),Pineapple Chunks(159 ml)",447.37,48.88,14.13,8.79,41,Frying,10,1
R-114!,"Pesto Sauce(58 ml),Plantains(95 pieces),Pickled Beets(132 ml),Pink Peppercorns(95 gr),Pepper Jack Cheese(82 gr),Pistachios(130 gr),Pecans(133 gr)",140.07,58.36,17.74,11.21,10,Baking,9,3
R-115!,"Pesto Sauce(52 ml),Pepper Jack Cheese(69 gr),Pine Nuts(56 gr)",242.34,41.96,15.11,25.22,14,Cooking,6,3
R-116,"Whole-Wheat Flour(158 ml),Green Onions(111 pieces),Ginger Ale(167 ml),Shallot Oil(70 ml),Hot Sauce(63 ml)",453.05,33.8,26.36,6.91,35,Grilling,4,2
R-117!,"Pistachios(152 gr),Pickled Beets(179 ml),Pink Peppercorns(52 gr),Pineapple Chunks(85 ml)",152.4,46.61,35.91,28.91,59,Baking,6,1
R-118!,"Plantains(176 pieces),Pepitas(66 gr),Pickled Beets(51 ml)",486.83,38.39,15.66,14.94,24,Baking,7,4
R-119,"Red Beans(76 ml),Okra Pods(185 ml),Italian Sausage(54 gr),Cinnamon(133 gr),Artisan Bread(190 pieces),Kumquats(111 pieces),Lemongrass Stalks(144 pieces)",396.19,51.9,12.94,27.7,49,Frying,1,4
R-120!,"Pineapple Chunks(174 ml),Pickled Beets(157 ml),Pine Nuts(68 gr),Pink Peppercorns(197 gr),Plum Sauce(79 ml)",410.21,66.01,18.62,18.15,17,Cooking,8,1
R-121,"Cilantro Seeds(196 gr),Hummus(121 ml),Lasagna Noodles(178 ml),Herbes de Provence(139 gr),Mineral Water(128 ml),Mulberries(175 gr),Nut Butter(131 ml)",281.19,30.83,17.86,13.52,23,Grilling,2,1
R-122!,"Pickled Ginger(145 ml),Pickled Beets(86 ml),Pine Nuts(100 gr),Pistachios(124 gr),Plum Sauce(200 ml),Plantains(113 pieces),Pecans(112 gr)",151.95,51.03,10.31,11.57,42,Frying,5,4
R-123,"Apple Cider Vinegar(91 ml),Brown Mushrooms(154 gr),Kohlrabi(62 pieces),Brussels Sprouts(96 ml)",322.4,20.3,16.82,23.33,35,Cooking,6,4
R-124,"Hot Paprika(86 gr),Grapefruit(191 pieces),Jalapeño Peppers(55 pieces)",408.13,23.24,28.73,8.76,17,Cooking,9,4
R-125,"Lemon Grass(52 ml),Kasha(124 ml),Clams(150 pieces),Mayonnaise(64 ml),Balsamic Glaze(110 ml),Butternut Squash(91 pieces),Garam Masala(174 gr)",305.46,37.54,11.55,29.68,53,Frying,9,3
R-126!,"Pickled Beets(117 ml),Plantains(187 pieces),Pickled Ginger(129 ml),Pecans(103 gr),Pink Peppercorns(82 gr),Pineapple Chunks(72 ml),Pepper Jack Cheese(155 gr)",211.0,67.5,27.1,22.62,52,Grilling,6,2
R-127!,"Pepper Jack Cheese(91 gr),Pesto Sauce(129 ml),Pine Nuts(107 gr),Pistachios(197 gr)",107.51,38.9,31.5,20.73,14,Grilling,9,2
R-128!,"Pink Peppercorns(165 gr),Pickled Ginger(179 ml),Pineapple Chunks(175 ml),Pistachios(72 gr),Pecans(156 gr),Pickled Beets(193 ml)",326.41,37.1,25.48,10.73,48,Cooking,4,1
R-129,"Sunflower Seeds(140 gr),Chive(89 ml),Pears(131 pieces),Napa Cabbage(159 ml),Celery(119 ml)",413.83,58.32,20.9,27.41,12,Cooking,1,2
R-130,"Elderberry Syrup(61 ml),Meringues(197 gr),Marzipan(115 gr),Rosemary Sprigs(140 pieces),Fennel(122 ml)",130.03,64.86,25.77,12.16,55,Baking,7,4
R-131,"Garlic Powder(118 gr),Blue Cheese(200 gr),Hummus(151 ml)",106.19,56.37,19.15,19.13,39,Cooking,1,4
R-132,"Hazelnut Butter(109 ml),Lemon Balm(156 ml),Mini Marshmallows(198 gr)",439.62,29.0,28.8,7.11,43,Cooking,9,5
R-133,"Marzipan(149 gr),Za’atar(193 gr),Madras Curry Powder(113 gr)",212.65,22.06,20.57,13.62,43,Cooking,1,3
R-134,"Lima Beans(193 ml),Tarragon Vinegar(170 ml),Halibut(180 pieces),French Vanilla(192 ml),Tortilla Chips(78 gr),Five Spice Powder(166 gr),Portobello Mushrooms(157 gr)",225.98,64.47,26.02,6.37,25,Frying,4,5
R-135!,"Pepper Jack Cheese(113 gr),Pink Peppercorns(177 gr),Pickled Beets(93 ml),Pecans(122 gr),Pepitas(191 gr),Plum Sauce(166 ml)",320.36,51.6,18.67,14.75,16,Baking,6,1
R-136!,"Pepper Jack Cheese(167 gr),Pink Peppercorns(128 gr),Pickled Ginger(160 ml),Plum Sauce(124 ml),Pepitas(184 gr)",177.78,53.64,35.28,25.84,53,Cooking,3,4
R-137,"Ancho Chili Powder(68 gr),Habanero Peppers(122 gr),Bell Peppers(101 pieces)",102.39,38.49,27.58,7.5,43,Grilling,5,4
R-138,"Dried Herbs(152 gr),Napa Cabbage(67 ml),Heavy Whipping Cream(129 ml),Maraschino Cherries(186 ml),Celeriac Root(54 pieces),Mascarpone Cheese(64 gr),Spring Onions(160 pieces)",358.02,60.45,24.56,20.89,48,Frying,6,4
R-139!,"Pistachios(72 gr),Pineapple Chunks(181 ml),Pepitas(84 gr),Pepper Jack Cheese(186 gr),Pickled Ginger(113 ml),Pesto Sauce(118 ml),Pink Peppercorns(92 gr)",155.57,25.24,32.93,9.5,41,Frying,7,3
R-140!,"Pink Peppercorns(200 gr),Pickled Ginger(195 ml),Pesto Sauce(55 ml)",262.25,34.53,22.76,17.36,51,Frying,9,3
