Recipe Name,Recipe ID,Preparation Time (min),nutrition,Number of Steps,Steps,Description,Products,Number of Products,Taste Rating,Shelf Time
perfect microwave poached egg,473935,1,"[72.5, 7.0, 0.0, 3.0, 12.0, 7.0, 0.0]",8,"['boil water and add 1 tsp vinegar', 'fill a ramekin or any microwave safe bowl 3 / 4 of the way with boiling water', 'crack an egg and gently slip it into the water', 'cover with plastic wrap or a plate and microwave on high for 30 seconds', 'use a soup spoon and gently turn egg over , this is so it cooks on both sides', 'cover again and microwave 15 seconds longer', 'remove immediately from water with a large spoon and drain on a paper towel', 'enjoy !']",i found this recipe on another site and it works!  perfect poached egg in 45 seconds!  this takes the time and work out of poaching an egg.  enjoy!,"['egg', 'boiling water', 'white vinegar']",3,3,22
applesauce molasses cake   low fat  dairy free   gluten free,189207,45,"[312.9, 11.0, 107.0, 17.0, 7.0, 6.0, 20.0]",11,"['preheat oven to 375 degrees', 'sift dry ingredients together in large mixing bowl , combining thoroughly', 'blend wet ingredients in a separate mixing bowl', 'add wet ingredients to dry ingredients slowly while beating with electric beater or large whisk', 'beat thoroughly , until smooth', 'spray 9"" round cake pan or 9x13"" baking pan with baking spray', 'pour batter into cake pan', 'bake cake for 30-35 minutes or until a toothpick inserted in cake comes out nearly clean', 'remove cake from pan and place on cooling rack', 'serve while warm', 'optionally , the cake can be frosted with vanilla frosting or dusted with powdered sugar before serving']","a moist, delicious spice cake that also happens to be low in fat and free of gluten and dairy.  if you use another gf flour mix make sure it contains adequate amounts of guar gum or xanthan gum to help the cake rise. kosher: pareve.","['vegetable oil', 'eggs', 'blackstrap molasses', 'applesauce', 'brown rice flour', 'potato starch', 'tapioca starch', 'guar gum', 'sugar', 'salt', 'baking powder', 'baking soda', 'cinnamon', 'nutmeg', 'cooking spray']",15,4,18
chocolate coconut brownies,20120,45,"[273.7, 22.0, 115.0, 5.0, 6.0, 26.0, 11.0]",9,"['beat first 7 ingredients at medium speed with an electric mixer until smooth', 'stir in pecans', 'spread batter into a greased and floured 13- x 9-inch pan', 'bake at 350 degrees for 25 minutes', 'combine milk and coconut', 'spread mixture over warm brownies , and bake 10 more minutes', 'cool completely on a wire rack', 'spread frosting over brownies', 'cut into squares']",,"['sugar', 'all-purpose flour', 'cocoa', 'vegetable oil', 'eggs', 'salt', 'vanilla extract', 'pecans', 'sweetened condensed milk', 'coconut flakes', 'chocolate frosting']",11,7,22
blackberry cobbler,26111,85,"[246.4, 20.0, 58.0, 14.0, 6.0, 40.0, 10.0]",8,"['mix blackberries and sugar', 'let stand 20 minutes or until fruit syrup forms', 'mix together flour , baking powder , salt , and milk in ungreased 8 inch square pan', 'stir in butter until blended', 'spread evenly in pan', 'spoon blackberries over batter', 'bake at 375 degrees for 45-55 minutes or until dough rises and is golden', 'serve warm']",this is so great. my family can hardly wait for it to come out of the oven. nothing like it.,"['flour', 'baking powder', 'salt', 'milk', 'butter', 'fresh blackberries', 'sugar']",7,1,27
ice cream pancakes,258133,15,"[205.4, 8.0, 31.0, 9.0, 12.0, 14.0, 10.0]",7,"['combine 1 cup ice cream with water and egg in a medium bowl', 'in a separate bowl , combine flour , baking powder , and salt', 'add the wet mixture to the dry mixture and stir just until combined', 'heat a greased skillet over medium', 'spoon 1 / 3 cup of batter onto the skillet for each pancake', 'flip once edges are cooked and pancake starts to bubble , about 1 minute', 'cook other side until lightly browned and serve with a scoop of ice cream and strawberry syrup']",cute!,"['vanilla ice cream', 'water', 'egg', 'flour', 'baking powder', 'salt', 'oil']",7,8,28
swissed ham and noodles casserole,160944,55,"[478.1, 51.0, 9.0, 19.0, 51.0, 88.0, 6.0]",7,"['in 1-quart saucepan , melt butter', 'saute onion and green pepper', 'remove from heat', 'stir in soup and sour cream', 'in buttered 2-quart casserole , layer 1 / 3 of the noodles , 1 / 3 of the swiss cheese , 1 / 3 of the ham and 1 / 2 soup mixture', 'repeat layers , ending with final 1 / 3 layer of noodles , cheese and ham', 'bake in preheated 350 degree oven 30 to 45 minutes or until heated through']",from wisconsin milk marketing board.,"['butter', 'onion', 'green pepper', 'condensed cream of mushroom soup', 'sour cream', 'medium noodles', 'swiss cheese', 'cooked ham']",8,1,3
easy cheesy hamburger soup,92882,45,"[503.3, 33.0, 38.0, 51.0, 55.0, 54.0, 16.0]",6,"['in a 5 quart stock pot brown the ground beef with the onion and garlic', 'add the tomatoes , water , bouillon , carrots , potatoes and celery', 'simmer until the veggies are tender', 'add the uncooked pasta- continue to simmer for about 10 minutes- until pasta is near cooked through', 'add the cubed velveeta- stir until melted', 'combine the milk and flour- whisk until smooth- add to simmering soup , stir until thickened']","this is a simple, easy, inexpensive soup that kids and adults love!  i usually add about 1 cup frozen corn (thawed), and 1 can of green beans. this really
adds to the veggie content, and overall heartiness of the soup. this is my husband's
favorite!!!!!","['ground beef', 'onion', 'garlic', 'italian-style diced tomatoes', 'water', 'beef bouillon cubes', 'carrots', 'celery ribs', 'potatoes', 'small shell pasta', 'milk', 'flour', 'velveeta cheese']",13,2,6
ham  mushroom and cheese omelette,162931,15,"[282.9, 30.0, 7.0, 12.0, 46.0, 37.0, 0.0]",7,"['beat eggs , add mushrooms and ham', 'heat frying pan , and coat with cooking spray or oil', 'add egg mixture to hot pan and cook until almost set', 'flip over and when egg is set , top with cheese', 'cook until cheese is melted', 'serve with hashbrowns , toast , or rice', 'sometimes i even add chopped green onion , or any color pepper we have on hand']",this is just one of those throw together omelette/frittatas. i make this as a special when i just don't feel like being creative.,"['eggs', 'mushroom', 'ham', 'cheddar cheese']",4,3,21
double chicken dumpling soup,195613,35,"[517.2, 30.0, 54.0, 48.0, 87.0, 26.0, 13.0]",10,"['heat a soup pot over medium to medium-high heat with evoo', 'add celery , onions , carrots and bay leaf , season with salt and pepper , and cook 5 minutes', 'add stock to the pot , cover and bring to a boil', 'place chicken in a bowl and season with salt and pepper', 'add garlic , nutmeg , egg , bread crumbs and cheese', 'combine the chicken mixture with your hands then roll into walnut-sized meat balls and add to the soup', 'wash up , then add the gnocchi to the pot and cook for 5 minutes', 'add peas and parsley , and cook 2 minutes more', 'turn heat off under the stoup and allow it to cool for 5 minutes on the stovetop', 'sprinkle each bowl with your favorite shredded or grated white cheese before serving with crusty bread']","another yummy recipe from rachel ray show.  this one is for dinner tonight.  picture to follow.  ;)  looks yummy though. i would use a 3 cheese blend - parm, asagio and romano myself as that is my fav. i will also use 1-2 8oz packages of rising moon garlic and basil frozen gnocchi (depending on your preference)in place of the fresh since i could not locate fresh in the refrigerated grocery aisle here locally.  may be only seasonally in my area. ;)","['extra virgin olive oil', 'celery ribs', 'onions', 'carrots', 'fresh bay leaf', 'salt and pepper', 'chicken stock', 'ground chicken', 'garlic cloves', 'fresh nutmeg', 'egg', 'italian seasoned breadcrumbs', 'parmigiano-reggiano cheese', 'gnocchi', 'frozen peas', 'flat leaf parsley', 'crusty bread']",17,7,26
black walnut coffee cake,8799,55,"[1194.6, 102.0, 343.0, 23.0, 32.0, 113.0, 46.0]",7,"['mix as for cake', 'for filling: mix together the ingredients', 'spread 1 / 2 batter in long flat pan', 'sprinkle 1 / 2 filling over this', 'pour remaining batter over , spread rest of filling on top', 'spoon 1 / 2 cup melted butter on top', 'bake 350f for about 35 minutes']",this is a favorite of all who try it. a woman at work gave the recipe to me many years ago. i love it too.,"['flour', 'baking powder', 'salt', 'crisco', 'sugar', 'eggs', 'milk', 'vanilla', 'black walnut flavoring', 'butter', 'brown sugar', 'cinnamon', 'black walnut']",13,6,9
orange crush pound cake,44338,95,"[7382.9, 544.0, 2683.0, 71.0, 155.0, 470.0, 330.0]",8,"['cream shortening , margarine and sugar', 'add eggs , 1 at a time , mixing well after each', 'add orange crush , alternately with sifted flour', 'add add flavorings', 'put into greased and floured tube pan', 'bake at 325 degrees for 1 hour and 10 minutes', 'frosting: cream margarine and cream cheese add powdered sugar and flavorings', 'spread over warm cake']","i don't know how many servings this makes,depends on how big each piece is but it makes 1 cake.","['shortening', 'margarine', 'sugar', 'eggs', 'plain flour', 'orange soda', 'orange flavoring', 'vanilla', 'cream cheese', 'powdered sugar']",10,2,22
wine punch,95943,5,"[55.2, 0.0, 33.0, 0.0, 0.0, 0.0, 3.0]",3,"['combine all ingredients in a punch bowl', 'add ice', 'float slices of oranges , lemons and limes']",good party punch,"['rose wine', '7-up soda', 'orange juice concentrate', 'lemonade']",4,9,4
banana berry pancakes,432677,20,"[163.3, 2.0, 23.0, 16.0, 7.0, 1.0, 11.0]",11,"[':pancakes:', 'place bananas in a medium bowl and mash with a fork', 'add pancake mix and water', 'stir until blended', 'spray large skillet with nonstick cooking spray and heat over medium heat', 'pour 1 / 4 cup batter for each pancake into hot skillet', 'cook pancakes for about 2 minutes per side untill fully cooked', ':topping:', 'spray a pan with nonstick cooking spray and heat over medium heat', 'cook berries and orange juice for 3 minutes or until the berries are soft', 'spoon topping over pancakes']",a nice healthy breakfast from the ca department of public health.,"['banana', 'pancake mix', 'water', 'nonstick cooking spray', 'strawberry', 'orange juice']",6,2,2
lemon roasted beets,277502,60,"[77.9, 1.0, 38.0, 6.0, 4.0, 0.0, 5.0]",3,"['preheat oven to 350 degrees', 'toss everything in an 8x8 baking dish , and cover tightly with tin foil', 'bake for 40 minutes shaking or stirring it occaassionally']","this is one of my mom's recipes.  i'm not big on beets (unless they are pickled!), but i'll eat them like this.","['beets', 'carrots', 'garlic cloves', 'lemon juice', 'lemon zest', 'extra virgin olive oil', 'salt']",7,9,16
tropical cottage cheese  sundae  salad,102298,2,"[203.3, 6.0, 100.0, 10.0, 18.0, 6.0, 11.0]",6,"['place pineapple slice on serving plate', 'place 1 / 3 of a banana into hole of pineapple so that the banana is sticking up', 'put cottage cheese over banana to resemble a scoop of ice cream', 'sprinkle sunflower seeds , peanuts , raisins and / or chocolate chips on cottage cheese', 'top with maraschino cherry', ""enjoy your 'sundae' !""]","i used to do child-care in my home and was always looking for fun, easy-to-prepare foods the kids would like.  one parent suggested this...all the kids loved it!","['pineapple slice', 'banana', 'cottage cheese', 'sunflower seeds', 'maraschino cherry']",5,1,8
baba gannoujh    middle eastern eggplant spread,100197,35,"[87.8, 8.0, 13.0, 0.0, 4.0, 3.0, 3.0]",4,"['preheat oven to 400f and prepare a baking dish that will accommodate the eggplant with cooking spray', 'halve each eggplant lengthwise , sprinkle with salt , and place cut side down in the baking dish', 'spray skin with cooking spray , then roast until tender when pierced , about 20-25 minutes', 'place all ingredients in the bowl of your food processor fitted with the steel blade , and blend until smooth']","this is a delicious and very simple recipe if prepared in a food processor or blender. a wonderful spread to serve with pita bread, kalamata olives, feta, and tomatoes. this recipe calls for japanese eggplant, which can be used whole without peeling or draining...more vitamins, less hassle! if you can only find ""regular"" eggplant (the large, very dark purple, almost black kind), i recommend you prepare it first by lightly salting and draining it for 30 minutes or so to remove bitterness prior to roasting. you may also wish to remove the skin as a matter of personal preference.","['japanese eggplants', 'onion', 'parsley', 'lemon juice', 'extra virgin olive oil', 'tahini', 'garlic', 'dried oregano', 'salt', 'pepper']",10,6,21
easy microwave caramel popcorn,382686,15,"[364.6, 7.0, 182.0, 1.0, 5.0, 12.0, 27.0]",9,"['pop the popcorn according to the instructions and empty into a large bowl', 'mix the corn syrup and brown sugar together in a microwave safe bowl and microwave on hight for 3 minutes', 'stir butter and vanilla into the brown sugar / syrup mixture and stir until the butter is melted', 'pour over the popcorn and stir until thoroughly coated', 'spread on cookie sheets and dry until desired hardness', 'prep time includes time to pop popcorn', 'cooking time includes mixing but does not include drying time', 'however , that will vary depending on how hard you want your popcorn', 'we have a tendency to eat it pretty much right away !']","fast and easy and quite delicious, this is my daughter's favorite and a frequent request.  fortunately, i almost always have the ingredients in the pantry and it takes no time at all to throw together!  we take this to every sort of kid-oriented activity for which we need to provide a treat.  it makes a nice change from cookies and brownies and always disappears fast.","['microwave popcorn', 'corn syrup', 'brown sugar', 'butter', 'vanilla']",5,4,12
knock  you  off cask   cream,194977,10,"[149.4, 13.0, 36.0, 1.0, 3.0, 27.0, 3.0]",5,"['mix all together by hand or in a blender and store in refridgerator', 'i prefer a very clean glass jar', ""i would give this a week to 'cure"", ""'"", 'this will keep for weeks and weeks']",some years ago i tired of bailey's irish cream and discovered cask & cream. it didn't seem so icky and bailey's was ubiquitous. i could not even walk into a 7-11 without smelling it from the coffee pots. so i set about to make my own cask & cream. you can tweak this but i have found this to be the best standard i could come up with. enjoy!,"['brandy', 'sweetened condensed milk', 'cocoa powder', 'heavy cream']",4,1,29
grouper nuggets,102693,20,"[260.4, 9.0, 12.0, 18.0, 56.0, 7.0, 7.0]",11,"['cut the grouper fillets in half lengthwise', 'then cut into 1 inch strips', 'place nuggets of grouper in a bowl with the buttermilk and hot sauce', 'refrigerate 30-60 minutes', 'heat oil in a pot or heat your electric fryer', 'using your hand , strain out the buttermilk and then crack the egg into the bowl', 'mix the egg around', 'put the crackers , garlic salt , and pepper into a food processor and process until pretty finely ground', 'put the crackers onto a plate and coat the nuggets one at a time , dropping into the hot oil as you go', 'these fry up really quick', 'serve with cocktail sauce']",i made these for an appetizer last night for me and the guys watching football. they were easy and a big hit!!! i used a frydaddy and they turned out perfect.,"['grouper fillet', 'buttermilk', 'egg', 'saltine crackers', 'garlic salt', 'black pepper', 'hot sauce', 'canola oil']",8,5,22
adi s shepherd s pie,56218,75,"[641.2, 43.0, 20.0, 40.0, 73.0, 49.0, 20.0]",9,"['fry onions in oil and add to mashed potatoes', 'add margarine and salt and pepper and set potatoes aside', 'mix ground beef with egg , bread crumbs , salt , pepper , garlic and onion powder', 'press beef into a casserole dish', 'layer corn on top of beef', 'layer mashed potatoes on top of corn', 'pat down until smooth , crimp edges with fingers', 'bake at 350 for about an hour', 'just before serving brush teaspoons oil on potato and broil until nicely browned']","i started making this for my family when i was around 13. my brother adam, who i call adi, was crazy about it. some people use creamed corn, i found that the frozen corn kept everything nice and moist. i eyeballed everything in this recipe, so hopefully the amounts are fairly accurate. enjoy...","['ground beef', 'egg', 'breadcrumbs', 'salt', 'pepper', 'garlic powder', 'onion powder', 'frozen corn', 'potatoes', 'onions', 'oil', 'margarine', 'salt and pepper']",13,3,13
lavender dijon dressing marinade for salads  chicken and fish,382037,5,"[164.9, 28.0, 0.0, 14.0, 0.0, 12.0, 0.0]",3,"['in a jar with a well-fitting lid , combine all ingredients', 'shake well', 'lovely served drizzled over fresh salad greens , or use as a tasty marinade for meats , poultry or fish']","this lavender suffused dressing is fabulous drizzled over a plateful of fresh salad greens; it is also a wonderful marinade for various meats, poultry, and fish! marinating time is 15 minutes to overnight.","['extra virgin olive oil', 'red wine vinegar', 'lemon, juice of', 'dijon mustard', 'lavender buds', 'sea salt', 'garlic', 'fresh ground black pepper', 'lavender flowers']",9,4,9
caramel chocolate peanut orgasm cake 8   from scratch,70708,70,"[1096.4, 85.0, 377.0, 35.0, 32.0, 91.0, 49.0]",23,"['cake: preheat oven to 350f', 'grease and flour 3 9"" round cake pans', 'combine the flour , sugar , cocoa powder , salt , and baking soda', 'set aside', 'combine the egg , oil , and buttermilk', 'add to the flour mixture until well combined', 'slowly pour in and mix the hot coffee', 'scrape bowl to fully incorporate into the batter', 'pour batter evenly into the prepared pans', 'bake for 25-30 minutes , or until a toothpick tests out clean', 'cool 10 minutes in pans', 'loosen edges and invert onto waxed or parchment paper-lined wire racks', 'cool completely before frosting', 'frosting: combine the sugar and milk in a saucepan', 'add the butter and bring to a boil over medium heat', 'remove pan from heat', 'add the chocolate chips and whisk until melted and smooth', 'if the frosting is too thick or grainy , thin it a little by adding 1-2 tsp', 'hot coffee', 'place one cake layer on a serving platter , rounded side up', 'spread with 1 / 3 of the frosting , right to the edges', 'sprinkle frosting with 1 / 2 cup of the peanuts and drizzle 1 / 4 cup of the caramel sauce on top', 'repeat process with each layer']","naughty, in the best possible way!!!! **i usually like to let all cake batters rest for 10 minutes (in the baking pans) before they go into the oven--i find that they rise up nicer.**","['flour', 'sugar', 'dutch-processed cocoa powder', 'salt', 'baking soda', 'egg', 'vegetable oil', 'buttermilk', 'coffee', 'butter', 'milk', 'semi-sweet chocolate chips', 'caramel sauce', 'peanuts']",14,2,12
